Date,Adj Close
1/13/2020,78.561531
1/14/2020,77.500702
1/15/2020,77.168564
1/16/2020,78.135223
1/17/2020,79.000244
1/21/2020,78.464882
1/22/2020,78.744957
1/23/2020,79.124184
1/24/2020,78.896149
1/27/2020,76.576187
1/28/2020,78.742477
1/29/2020,80.390747
1/30/2020,80.274246
1/31/2020,76.714989
2/3/2020,76.504311
2/4/2020,79.029999
2/5/2020,79.674438
2/6/2020,80.606384
2/7/2020,79.510727
2/10/2020,79.888359
2/11/2020,79.406372
2/12/2020,81.292099
2/13/2020,80.713219
2/14/2020,80.733086
2/18/2020,79.254822
2/19/2020,80.402649
2/20/2020,79.577805
2/21/2020,77.776558
2/24/2020,74.082146
2/25/2020,71.572823
2/26/2020,72.708221
2/27/2020,67.955421
2/28/2020,67.915665
3/2/2020,74.238663
3/3/2020,71.880898
3/4/2020,75.215065
3/5/2020,72.775307
3/6/2020,71.808846
3/9/2020,66.129333
3/10/2020,70.892075
3/11/2020,68.429955
3/12/2020,61.672176
3/13/2020,69.061012
3/16/2020,60.176525
3/17/2020,62.822491
3/18/2020,61.284599
3/19/2020,60.815033
3/20/2020,56.954155
3/23/2020,55.744217
3/24/2020,61.336773
3/25/2020,60.998886
3/26/2020,64.208832
3/27/2020,61.550438
3/30/2020,63.306961
3/31/2020,63.177769
4/1/2020,59.853539
4/2/2020,60.852295
4/3/2020,59.977768
4/6/2020,65.210068
4/7/2020,64.454796
4/8/2020,66.104485
4/9/2020,66.581505
4/13/2020,67.888336
4/14/2020,71.31691
4/15/2020,70.665985
4/16/2020,71.22747
4/17/2020,70.261017
4/20/2020,68.80262
4/21/2020,66.675911
4/22/2020,68.596413
4/23/2020,68.330582
4/24/2020,70.303253
4/27/2020,70.352943
4/28/2020,69.212555
4/29/2020,71.485863
4/30/2020,72.993935
5/1/2020,71.818787
5/4/2020,72.83493
5/5/2020,73.928101
5/6/2020,74.690842
5/7/2020,75.463509
5/8/2020,77.259674
5/11/2020,78.475372
5/12/2020,77.578537
5/13/2020,76.641853
5/14/2020,77.112686
5/15/2020,76.656792
5/18/2020,78.462914
5/19/2020,78.009521
5/20/2020,79.526665
5/21/2020,78.933754
5/22/2020,79.441963
5/26/2020,78.903862
5/27/2020,79.247643
5/28/2020,79.282524
5/29/2020,79.205299
6/1/2020,80.179359
6/2/2020,80.550545
6/3/2020,80.99398
6/4/2020,80.296448
6/5/2020,82.583374
6/8/2020,83.07164
6/9/2020,85.694878
6/10/2020,87.89959
6/11/2020,83.679497
6/12/2020,84.401947
6/15/2020,85.445755
6/16/2020,87.710258
6/17/2020,87.588196
6/18/2020,87.623077
6/19/2020,87.122337
6/22/2020,89.401787
6/23/2020,91.310051
6/24/2020,89.698242
6/25/2020,90.889038
6/26/2020,88.096405
6/29/2020,90.126732
6/30/2020,90.879066
7/1/2020,90.707176
7/2/2020,90.707176
7/6/2020,93.133614
7/7/2020,92.844635
7/8/2020,95.006996
7/9/2020,95.415558
7/10/2020,95.582466
7/13/2020,95.141525
7/14/2020,96.715965
7/15/2020,97.381111
7/16/2020,96.182846
7/17/2020,95.988533
7/20/2020,98.011391
7/21/2020,96.658661
7/22/2020,96.930199
7/23/2020,92.518288
7/24/2020,92.289093
7/27/2020,94.476364
7/28/2020,92.924355
7/29/2020,94.705559
7/30/2020,95.851517
7/31/2020,105.886086
8/3/2020,108.554153
8/4/2020,109.279099
8/5/2020,109.675194
8/6/2020,113.501678
8/7/2020,110.921135
8/10/2020,112.533356
8/11/2020,109.186623
8/12/2020,112.815369
8/13/2020,114.81192
8/14/2020,114.709602
8/17/2020,114.41011
8/18/2020,115.363472
8/19/2020,115.508217
8/20/2020,118.071297
8/21/2020,124.1558
8/24/2020,125.640739
8/25/2020,124.610016
8/26/2020,126.304596
8/27/2020,124.794701
8/28/2020,124.592552
8/31/2020,128.817749
9/1/2020,133.948898
9/2/2020,131.173691
9/3/2020,120.671806
9/4/2020,120.751671
9/8/2020,112.625694
9/9/2020,117.117943
9/10/2020,113.29454
9/11/2020,111.807106
9/14/2020,115.161316
9/15/2020,115.341011
9/16/2020,111.936882
9/17/2020,110.149963
9/18/2020,106.655991
9/21/2020,109.890411
9/22/2020,111.617432
9/23/2020,106.935509
9/24/2020,108.033615
9/25/2020,112.086624
9/28/2020,114.762009
9/29/2020,113.893501
9/30/2020,115.610542
10/1/2020,116.58886
10/2/2020,112.825348
10/5/2020,116.299355
10/6/2020,112.965111
10/7/2020,114.881805
10/8/2020,114.771988
10/9/2020,116.768547
10/12/2020,124.185753
10/13/2020,120.891434
10/14/2020,120.981277
10/15/2020,120.502106
10/16/2020,118.81501
10/19/2020,115.780251
10/20/2020,117.307617
10/21/2020,116.668724
10/22/2020,115.550644
10/23/2020,114.841873
10/26/2020,114.851852
10/27/2020,116.399178
10/28/2020,111.008476
10/29/2020,115.121384
10/30/2020,108.672516
11/2/2020,108.582664
11/3/2020,110.249794
11/4/2020,114.752022
11/5/2020,118.824997
11/6/2020,118.690002
11/9/2020,116.32
11/10/2020,115.970001
11/11/2020,119.489998
11/12/2020,119.209999
11/13/2020,119.260002
11/16/2020,120.300003
11/17/2020,119.389999
11/18/2020,118.029999
11/19/2020,118.639999
11/20/2020,117.339996
11/23/2020,113.849998
11/24/2020,115.169998
11/25/2020,116.029999
11/27/2020,116.589996
11/30/2020,119.050003
12/1/2020,122.720001
12/2/2020,123.080002
12/3/2020,122.940002
12/4/2020,122.25
12/7/2020,123.75
12/8/2020,124.379997
12/9/2020,121.779999
12/10/2020,123.239998
12/11/2020,122.410004
12/14/2020,121.779999
12/15/2020,127.879997
12/16/2020,127.809998
12/17/2020,128.699997
12/18/2020,126.660004
12/21/2020,128.229996
12/22/2020,131.880005
12/23/2020,130.960007
12/24/2020,131.970001
12/28/2020,136.690002
12/29/2020,134.869995
12/30/2020,133.720001
12/31/2020,132.690002
1/4/2021,129.410004
1/5/2021,131.009995
1/6/2021,126.599998
1/7/2021,130.919998
1/8/2021,132.050003
1/11/2021,128.979996
1/12/2021,128.800003
